what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369315613
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314369344448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369344465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369348729
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369355004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369370801
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369376136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369386564
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1314369425662
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369425676
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369428646
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369434537
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314369454448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314369464051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314369464368
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314369464576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369465872
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369479321
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314369484036
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314369484226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1314369484413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369484935
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369614097
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369619688
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369653912
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369655391
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369656499
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1314369731373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369733128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314369748056
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314369749798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369749818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369752761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369753586
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369808491
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1314369816411
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314369816958
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314369819121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369819148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369823913
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369824634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369845824
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1314369849562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314369850141
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314369852953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369852965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369857571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369863547
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369888621
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1314369916367
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314369918425
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369918438
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369921650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369922377
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369935975
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1314369981988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369982002
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369984899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369985533
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314369988186
